time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
1.458859,5,304.758,34.324,2314.147,339.790,2796.138,1146.906,3085.919,267.096,4198.205,517.030
1.465109,5,303.070,30.678,2305.454,278.654,2648.942,1206.916,3111.554,254.091,4176.250,364.138
1.471359,5,299.889,28.927,2319.436,178.103,2746.301,1986.980,3128.182,244.261,4259.871,670.079
1.477609,5,300.854,35.193,2321.970,248.729,3050.685,274.976,3419.697,1640.927,4379.499,1991.904
1.483859,5,296.317,39.866,2325.772,291.695,3008.120,189.139,3260.711,2196.673,4202.467,1095.148
1.490109,5,296.952,38.395,2290.626,151.413,2853.914,2587.456,3018.805,158.677,4234.881,497.913
1.496359,5,296.666,40.766,2295.225,222.792,2527.558,2431.709,3078.504,145.963,4220.002,481.693
1.502609,5,296.091,48.088,2309.190,3341.916,2334.177,184.503,3038.354,163.357,4201.218,350.542
1.508859,5,288.214,41.226,2293.658,144.371,2561.426,2291.817,3128.119,159.378,4216.041,223.299
1.515109,5,285.974,32.945,2260.491,175.062,2804.603,1538.539,3092.616,173.726,4234.829,309.307
1.521359,5,288.607,38.736,2253.573,256.368,2810.802,1462.086,3090.365,192.940,4273.276,451.403
1.527609,5,283.027,35.547,2357.712,468.548,2609.742,1418.981,3124.701,207.457,4284.096,331.685
1.533859,5,283.915,40.431,2318.775,315.333,2797.560,2118.493,3100.452,180.460,4295.903,579.991
1.540109,5,287.341,58.930,2299.283,218.141,2377.962,3207.838,3079.050,191.534,4282.063,287.626
1.546359,5,287.993,50.700,2285.189,145.818,2468.546,3092.773,3145.321,197.039,4311.413,208.490
1.552609,5,289.632,45.741,2307.593,313.419,2789.523,1898.972,3182.554,196.421,4288.730,778.917
1.558859,5,293.673,62.857,2300.656,1670.324,2503.074,574.311,3175.404,182.657,4278.500,322.562
1.565109,5,289.034,49.978,2393.037,527.393,2465.401,1781.483,3176.793,171.030,4314.594,185.486
1.571359,4,285.850,56.041,2244.123,154.448,3154.173,137.662,4269.656,379.068,--undefined--,--undefined--
1.577609,4,289.302,64.282,2245.824,187.971,3147.980,107.071,4188.098,512.884,--undefined--,--undefined--
1.583859,4,287.343,61.724,2328.548,239.991,3166.491,156.513,4294.077,385.823,--undefined--,--undefined--
1.590109,5,288.977,61.637,590.152,7727.684,2299.573,221.364,3104.033,173.206,4241.845,357.680
1.596359,5,287.710,46.384,2277.635,325.694,2661.527,2223.415,3128.155,181.770,4166.159,440.584
1.602609,5,284.354,35.278,2296.978,272.762,2877.295,1807.816,3137.089,237.765,4220.840,404.578
1.608859,5,281.586,26.500,2269.947,242.890,2693.825,1148.563,3161.472,177.772,4252.435,166.920
1.615109,5,277.344,23.400,2250.279,309.611,2727.911,804.162,3181.611,139.334,4254.688,230.786
